,borough,neighborhood,building class category,tax class at present,block,lot,ease-ment,building class at present,address,apartment number,zip code,residential units,commercial units,total units,land square feet,gross square feet,year built,tax class at time of sale,building class at time of sale,sale price,sale date,gross square feet log,sale price log
20363,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,7478,68, ,B1,2655 BATCHELDER STREET                   ,            ,11235,2,0,2,1950,1600,1960,1,B1,464000,2012-10-05,7.3777589082278725,13.047639831208393
20364,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8780,136, ,B2,74 DOOLEY STREET                         ,            ,11235,2,0,2,4618,1136,1901,1,B2,460000,2013-03-13,7.035268599281097,13.038981768465277
20365,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8785,108, ,B3,4735 BEDFORD AVENUE                      ,            ,11235,2,0,2,1710,1732,1940,1,B3,550000,2012-11-21,7.4570320891223805,13.217673557208654
20367,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8787,20, ,B1,2732 EAST 28TH   STREET                  ,            ,11235,2,0,2,2118,2640,1935,1,B1,150000,2012-12-10,7.878534196140362,11.918390573078392
20368,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8795,21, ,B9,2740 BROWN STREET                        ,            ,11235,2,0,2,2000,2220,1960,1,B9,595000,2012-10-15,7.705262474866325,13.296316684527767
20370,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8799,1, ,B9,2711 BATCHELDER STREET                   ,            ,11235,2,0,2,1900,2160,1955,1,B9,550000,2013-03-22,7.67786350067821,13.217673557208654
20371,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8799,3, ,B9,2707 BATCHELDER STREET                   ,            ,11235,2,0,2,1900,2160,1955,1,B9,487000,2012-10-24,7.67786350067821,13.096019402064726
20374,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8801,86, ,B2,2817 BATCHELDER STREET                   ,            ,11235,2,0,2,2800,2240,1920,1,B2,241500,2013-03-21,7.7142311448490855,12.394624752074764
20375,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8801,97, ,B2,2793 BATCHELDER STREET                   ,            ,11235,2,0,2,2800,2240,1920,1,B2,520000,2013-05-23,7.7142311448490855,13.16158409055761
20376,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8801,97, ,B2,2793 BATCHELDER STREET                   ,            ,11235,2,0,2,2800,2240,1920,1,B2,300000,2013-01-25,7.7142311448490855,12.611537753638338
20377,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8801,100, ,B2,2787 BATCHELDER STREET                   ,            ,11235,2,0,2,2800,2240,1920,1,B2,305000,2013-04-15,7.7142311448490855,12.628067055589549
20378,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8801,100, ,B2,2787 BATCHELDER STREET                   ,            ,11235,2,0,2,2800,2240,1920,1,B2,447656,2012-12-21,7.7142311448490855,13.011780359300971
20380,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8804,97, ,B2,2811 FORD STREET                         ,            ,11235,2,0,2,2650,2850,1920,1,B2,675000,2012-10-18,7.955074273262696,13.422467969854667
20381,3,SHEEPSHEAD BAY           ,02  TWO FAMILY HOMES                        ,1,8810,97, ,B2,1134 LAWN COURT                          ,            ,11235,2,0,2,4480,2600,1920,1,B2,495000,2013-03-18,7.8632667240095735,13.112313041550827
20383,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7343,24, ,C0,2144 EAST 12TH STREET                    ,            ,11229,3,0,3,4360,1776,1920,1,C0,900000,2013-06-18,7.4821189235521155,13.710150042306449
20386,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7344,67, ,C0,2125 EAST 12TH   STREET                  ,            ,11229,3,0,3,3200,2412,1950,1,C0,1190000,2012-08-13,7.788211557847076,13.989463865087712
20387,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7345,62, ,C0,2135 HOMECREST AVENUE                    ,            ,11229,3,0,3,8000,4001,1930,1,C0,1230000,2012-10-09,8.294299608857235,14.0225247273486
20389,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7382,158, ,C0,2261 EAST 24TH STREET                    ,            ,11229,3,0,3,2500,3465,1930,1,C0,700000,2013-03-07,8.150467911624004,13.458835614025542
20391,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7405,447, ,C0,2371 EAST 24 STREET                      ,            ,11229,3,0,3,2900,3588,1930,1,C0,850000,2012-11-21,8.185350223178686,13.652991628466498
20393,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7413,25, ,C0,1223 DOONE COURT                         ,            ,11235,3,0,3,3500,3100,1985,1,C0,935000,2012-11-19,8.039157390473237,13.748301808270824
20394,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7413,40, ,C0,1215 AVENUE  Y                           ,            ,11235,3,0,3,3100,3206,1970,1,C0,500000,2012-10-09,8.072779333169498,13.122363377404328
20397,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7416,65, ,C0,2437 EAST 14TH   STREET                  ,            ,11235,3,0,3,2500,1950,1930,1,C0,630000,2012-12-11,7.575584651557793,13.353475098367715
20398,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7417,47, ,C0,2475 EAST 15TH   STREET                  ,            ,11235,3,0,3,1463,1824,1930,1,C0,375000,2012-12-20,7.508787170634276,12.834681304952548
20400,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7422,325, ,C0,2450 EAST 23RD   STREET                  ,            ,11235,3,0,3,2667,3596,1930,1,C0,750000,2012-09-27,8.18757739559151,13.527828485512494
20405,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,7442,63, ,C0,2516 EAST 27TH   STREET                  ,            ,11235,3,0,3,2500,3560,1910,1,C0,860000,2012-10-11,8.177515823846075,13.664687668229691
20411,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,8761,45, ,C0,2748 E 11 STREET                         ,            ,11235,3,0,3,2000,3025,1970,1,C0,161000,2013-02-25,8.014666370464942,11.9891596439666
20412,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,8771,109, ,C0,3344 SHORE PARKWAY                       ,            ,11235,3,0,3,1800,2832,1920,1,C0,300000,2013-03-11,7.94873845481361,12.611537753638338
20415,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,8785,14, ,C0,2722 EAST 26TH STREET                    ,            ,11235,3,0,3,2625,2680,1925,1,C0,623000,2012-10-11,7.893572073504902,13.34230179776959
20416,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,8790,55, ,C0,2812 EAST 28TH   STREET                  ,            ,11235,3,0,3,2470,3444,1995,1,C0,790000,2013-01-23,8.144388865547622,13.579788224443204
20418,3,SHEEPSHEAD BAY           ,03  THREE FAMILY HOMES                      ,1,8807,61, ,C0,2836 BRIGHAM STREET                      ,            ,11235,3,0,3,2200,3100,1970,1,C0,700000,2012-11-19,8.039157390473237,13.458835614025542
20741,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,917, ,A5,540 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,5836,1647,2011,1,A5,385783,2013-04-24,7.4067107301776405,12.863030314200895
20742,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,918, ,A5,542 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20743,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,919, ,A5,544 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20744,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,920, ,A5,546 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20745,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,921, ,A5,548 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20746,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,922, ,A5,550 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20747,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,923, ,A5,552 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20748,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,924, ,A5,554 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20749,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,925, ,A5,556 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-24,7.396335293800808,12.78173893228429
20750,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,926, ,A5,558 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20751,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,927, ,A5,560 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-18,7.396335293800808,12.78173893228429
20752,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,928, ,A5,562 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-24,7.396335293800808,12.78173893228429
20753,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,929, ,A5,564 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-24,7.396335293800808,12.78173893228429
20754,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,930, ,A5,566 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355663,2013-04-24,7.396335293800808,12.78173893228429
20755,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,931, ,A5,568 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355677,2013-04-24,7.396335293800808,12.781778294614544
20756,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,932, ,A5,570 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355677,2013-04-24,7.396335293800808,12.781778294614544
20757,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,933, ,A5,572 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,2300,1630,2011,1,A5,355677,2013-04-24,7.396335293800808,12.781778294614544
20758,3,SPRING CREEK             ,01  ONE FAMILY HOMES                        ,1,4452,934, ,A5,574 SCHROEDERS AVENUE                    ,            ,11239,1,0,1,4025,1630,2011,1,A5,385783,2013-04-24,7.396335293800808,12.863030314200895
20760,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,846, ,B2,589 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-09-12,7.795646536334594,12.94719060703774
20761,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,848, ,B2,593 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-12-06,7.795646536334594,12.94719060703774
20762,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,850, ,B2,597 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-09-12,7.795646536334594,12.94719060703774
20763,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,851, ,B2,599 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-09-12,7.795646536334594,12.94719060703774
20764,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,852, ,B2,601 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2467,2009,1,B2,419656,2012-09-12,7.810758116529357,12.94719060703774
20765,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,853, ,B2,603 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2467,2009,1,B2,419656,2012-11-28,7.810758116529357,12.94719060703774
20766,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,854, ,B2,605 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2467,2009,1,B2,419656,2012-12-06,7.810758116529357,12.94719060703774
20767,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,857, ,B2,611 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2448,2009,1,B2,419656,2012-08-23,7.803026643632217,12.94719060703774
20768,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,858, ,B2,613 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2448,2009,1,B2,419656,2012-11-28,7.803026643632217,12.94719060703774
20769,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,860, ,B2,617 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2013-03-27,7.795646536334594,12.94719060703774
20770,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,861, ,B2,619 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-08-23,7.795646536334594,12.94719060703774
20771,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,862, ,B2,621 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-08-23,7.795646536334594,12.94719060703774
20772,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,863, ,B2,623 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2430,2009,1,B2,419656,2012-09-12,7.795646536334594,12.94719060703774
20773,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,868, ,B2,633 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2448,2009,1,B2,419656,2012-12-06,7.803026643632217,12.94719060703774
20774,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4452,870, ,B2,637 VANDALIA AVENUE                      ,            ,11239,2,0,2,1900,2448,2009,1,B2,419656,2012-08-23,7.803026643632217,12.94719060703774
20775,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4586,881, ,B2,588 VANDALIA AVENUE                      ,            ,11239,2,0,2,2322,2430,2009,1,B2,419656,2012-12-13,7.795646536334594,12.94719060703774
20776,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4586,882, ,B2,590 VANDALIA AVENUE                      ,            ,11239,2,0,2,2322,2430,2009,1,B2,419656,2012-10-11,7.795646536334594,12.94719060703774
20777,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4586,910, ,B2,1138 BERRIMAN STREET                     ,            ,11239,2,0,2,2100,2430,2009,1,B2,419656,2012-09-12,7.795646536334594,12.94719060703774
20778,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4586,911, ,B2,1140 BERRIMAN STREET                     ,            ,11239,2,0,2,2100,2430,2009,1,B2,419656,2012-12-06,7.795646536334594,12.94719060703774
20779,3,SPRING CREEK             ,02  TWO FAMILY HOMES                        ,1,4586,912, ,B2,1142 BERRIMAN STREET                     ,            ,11239,2,0,2,2100,2430,2009,1,B2,419656,2012-10-11,7.795646536334594,12.94719060703774
20815,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,637,41, ,S1,652 5 AVENUE                             ,            ,11215,1,1,2,1092,2202,1954,1,S1,750000,2013-07-23,7.697121317282625,13.527828485512494
20816,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,655,55, ,A9,219 26TH STREET                          ,            ,11232,1,0,1,1560,1800,1910,1,A9,400000,2012-12-18,7.495541943884256,12.89921982609012
20817,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,669,48, ,A9,8 ROOSEVELT COURT                        ,            ,11232,1,0,1,1000,960,1920,1,A9,470000,2013-03-25,6.866933284461882,13.060487973686241
20818,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,673,28, ,A9,212 30TH   STREET                        ,            ,11232,1,0,1,2003,1530,1910,1,A9,595000,2013-01-18,7.333023014386481,13.296316684527767
20819,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,673,32, ,A9,1 WOODROW COURT                          ,            ,11232,1,0,1,1005,1440,1910,1,A9,630000,2013-03-20,7.272398392570047,13.353475098367715
20820,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,673,132, ,A9,3 WOODROW COURT                          ,            ,11232,1,0,1,1000,960,1910,1,A9,365000,2012-12-20,6.866933284461882,12.80765263256463
20821,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,708,30, ,A9,358 39TH STREET                          ,            ,11232,1,0,1,2000,1368,1910,1,A9,340000,2012-09-27,7.221105098182496,12.736700896592344
20823,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,723,63, ,A9,333 43RD STREET                          ,            ,11232,1,0,1,1669,1394,1899,1,A9,335000,2012-09-11,7.2399325913204695,12.721885810807203
20825,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,794,29, ,A9,758 50TH STREET                          ,            ,11220,1,0,1,2003,1288,1935,1,A9,620000,2013-08-08,7.160845906664299,13.337474757021274
20827,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,810,20, ,A9,730 52ND   STREET                        ,            ,11220,1,0,1,1800,1080,1930,1,A9,810000,2013-06-11,6.984716320118266,13.604789526648622
20828,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,823,29, ,S1,454 54TH   STREET                        ,            ,11220,1,1,2,1903,2613,1901,1,S1,685000,2013-02-26,7.868254265520613,13.437174117244362
20829,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,823,29, ,S1,454 54TH STREET                          ,            ,11220,1,1,2,1903,2613,1901,1,S1,450000,2012-10-18,7.868254265520613,13.017002861746503
20830,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,857,45, ,S1,5820 7 AVENUE                            ,            ,11220,1,1,2,800,1600,1910,1,S1,720000,2012-10-24,7.3777589082278725,13.487006490992238
20831,3,SUNSET PARK              ,01  ONE FAMILY HOMES                        ,1,873,45, ,A5,628 6 AVENUE                             ,            ,11215,1,0,1,1024,900,1920,1,A5,790000,2012-12-27,6.802394763324311,13.579788224443204
20837,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,631,77, ,B9,189 18TH   STREET                        ,            ,11215,2,0,2,1669,2241,1910,1,B9,985000,2012-12-21,7.714677473800927,13.800396920154226
20838,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,633,59, ,B9,131 19TH STREET                          ,            ,11232,2,0,2,2237,1650,1910,1,B9,610000,2013-03-19,7.408530566894626,13.321214236149494
20839,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,637,26, ,B9,208 19TH   STREET                        ,            ,11232,2,0,2,2504,1350,1910,1,B9,675000,2012-09-10,7.2078598714324755,13.422467969854667
20840,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,637,30, ,B9,216 19TH STREET                          ,            ,11232,2,0,2,1878,1652,1910,1,B9,285000,2012-09-19,7.409741954080923,12.560244459250788
20843,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,642,60, ,B9,139 22ND STREET                          ,            ,11232,2,0,2,1669,1920,1910,1,B9,462765,2012-08-07,7.560080465021827,13.04497464482125
20844,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,643,26, ,B9,220 21ST   STREET                        ,            ,11232,2,0,2,1778,1530,1910,1,B9,630000,2013-05-22,7.333023014386481,13.353475098367715
20845,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,645,51, ,B9,159 23RD   STREET                        ,            ,11232,2,0,2,2003,2420,1899,1,B9,925000,2012-12-07,7.791522819150732,13.737549016494562
20846,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,646,24, ,B9,202 22ND   STREET                        ,            ,11232,2,0,2,1669,1644,1910,1,B9,737500,2013-06-13,7.404887575616125,13.511021367196111
20851,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,648,127, ,B9,154A 23RD STREET                         ,            ,11232,2,0,2,1400,1680,1910,1,B9,534581,2012-11-20,7.426549072397305,13.189238541464277
20852,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,657,41, ,S2,782 4 AVENUE                             ,            ,11232,2,1,3,1251,2400,1930,1,S2,85000,2013-03-15,7.783224016336037,11.350406535472453
20854,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,665,62, ,B9,191 29 STREET                            ,            ,11232,2,0,2,1783,2233,1905,1,B9,700000,2013-02-25,7.711101251840158,13.458835614025542
20855,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,668,52, ,B3,141 30TH   STREET                        ,            ,11232,2,0,2,2504,1320,1915,1,B3,499990,2012-09-11,7.1853870155804165,13.122343377204325
20856,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,676,30, ,B9,150A 31 STREET                           ,            ,11232,2,0,2,1669,1980,1910,1,B9,789000,2013-06-17,7.590852123688581,13.578521599828012
20859,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,677,71, ,B9,165 32ND STREET                          ,            ,11232,2,0,2,1803,2376,1910,1,B9,400000,2013-03-08,7.773173680482536,12.89921982609012
20862,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,684,38, ,S2,906 4TH AVENUE                           ,            ,11232,2,1,3,1600,3000,1920,1,S2,763000,2013-06-17,8.006367567650246,13.545013310266594
20863,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,685,58, ,B9,211 34TH   STREET                        ,            ,11232,2,0,2,1683,2160,1910,1,B9,700000,2013-07-12,7.67786350067821,13.458835614025542
20864,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,685,64, ,B9,201 34TH   STREET                        ,            ,11232,2,0,2,1669,1604,1910,1,B9,645000,2013-07-29,7.38025578842646,13.37700559577791
20871,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,692,49, ,B9,365 36TH   STREET                        ,            ,11232,2,0,2,2000,2800,1899,1,B9,147000,2012-10-03,7.937374696163295,11.898187865760873
20873,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,697,22, ,B9,434 36TH STREET                          ,            ,11232,2,0,2,1625,1936,1910,1,B9,225000,2012-12-27,7.568379267836522,12.323855681186558
20874,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,701,25, ,B1,444 37TH   STREET                        ,            ,11232,2,0,2,1870,1950,1901,1,B1,999000,2013-05-06,7.575584651557793,13.81451005763069
20875,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,701,31, ,B3,458 37TH STREET                          ,            ,11232,2,0,2,2270,1950,1901,1,B3,725000,2012-10-15,7.575584651557793,13.493926933836812
20876,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,708,14, ,B9,324 39TH STREET                          ,            ,11232,2,0,2,2504,2220,1910,1,B9,478000,2013-03-14,7.705262474866325,13.077366011473593
20879,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,709,43, ,S2,3918 5TH AVENUE                          ,            ,11232,2,1,3,1733,3000,1931,1,S2,800000,2013-06-25,8.006367567650246,13.592367006650065
20882,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,723,64, ,B9,329 43RD STREET                          ,            ,11232,2,0,2,1669,1344,1899,1,B9,590000,2012-12-13,7.203405521083095,13.287877815881902
20884,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,724,67, ,B9,429 43RD   STREET                        ,            ,11232,2,0,2,2000,2766,1899,1,B9,710000,2012-08-17,7.925157512224703,13.473020249017498
20886,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,740,52, ,B9,663 45TH                                 ,            ,11220,2,0,2,2003,2940,1910,1,B9,820000,2013-02-26,7.986164860332727,13.617059619240436
20887,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,740,59, ,B9,647 45TH STREET                          ,            ,11220,2,0,2,2003,2964,1910,1,B9,550000,2012-12-10,7.994294986415977,13.217673557208654
20888,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,740,70, ,B9,621 45TH STREET                          ,            ,11220,2,0,2,2003,2884,1905,1,B9,760000,2012-11-19,7.96693349840484,13.541073712262515
20889,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,741,19, ,B9,734 44 STREET                            ,            ,11220,2,0,2,2504,3600,1955,1,B9,800000,2012-11-30,8.1886891244442,13.592367006650065
20892,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,748,51, ,B9,563 46TH   STREET                        ,            ,11220,2,0,2,2003,2832,1910,1,B9,580000,2013-01-08,7.94873845481361,13.270783382522602
20895,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,749,32, ,B9,664 45TH   STREET                        ,            ,11220,2,0,2,2003,3060,1910,1,B9,810000,2012-12-28,8.026170194946426,13.604789526648622
20896,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,749,32, ,B9,664 45TH   STREET                        ,            ,11220,2,0,2,2003,3060,1910,1,B9,540000,2012-12-14,8.026170194946426,13.199324418540456
20897,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,749,32, ,B9,664 45TH STREET                          ,            ,11220,2,0,2,2003,3060,1910,1,B9,500000,2012-08-28,8.026170194946426,13.122363377404328
20899,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,749,71, ,B9,617 46TH   STREET                        ,            ,11220,2,0,2,2003,2820,1910,1,B9,860000,2012-09-19,7.944492163932159,13.664687668229691
20900,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,756,27, ,B9,450 46TH   STREET                        ,            ,11220,2,0,2,2003,2472,1899,1,B9,710000,2013-05-30,7.812782818577581,13.473020249017498
20901,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,756,42, ,S2,4614 5TH AVENUE                          ,            ,11220,2,1,3,2500,4513,1917,1,S2,1700000,2012-11-30,8.414717399827001,14.346138809026444
20904,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,757,62, ,B9,533 47TH   STREET                        ,            ,11220,2,0,2,2003,2948,1910,1,B9,991000,2013-05-08,7.988882253309227,13.806469813312125
20906,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,759,53, ,B1,757 47TH   STREET                        ,            ,11220,2,0,2,2003,2146,1920,1,B1,820000,2013-03-28,7.671360923190644,13.617059619240436
20907,3,SUNSET PARK              ,02  TWO FAMILY HOMES                        ,1,759,71, ,B1,713 47TH   STREET                        ,            ,11220,2,0,2,3005,3795,1920,1,B1,900000,2012-09-06,8.24143968982973,13.710150042306449
